Hereunder are the generated solutions for the six plots in order:
 - plot.harm.svg (A)
 - plot.diffharm.svg (A)
 - plot.scipy1.svg (A)
 - plot.PO1.svg (B)
 - plot.PO2.svg (B)
 - plot.PO3.svg (B)


0, 1
0.0147185, 0.999892
0.0287074, 0.999588
0.0422588, 0.999107
0.0555436, 0.998458
0.0686645, 0.997643
0.081684, 0.996666
0.0946406, 0.995525
0.107558, 0.994221
0.120451, 0.992754
0.133328, 0.991124
0.146197, 0.989332
0.159059, 0.987376
0.171917, 0.985258
0.184773, 0.982977
0.197628, 0.980534
0.210482, 0.977929
0.223335, 0.975163
0.236188, 0.972236
0.249041, 0.969148
0.261893, 0.9659
0.274745, 0.962492
0.287598, 0.958926
0.30045, 0.955201
0.313302, 0.951318
0.326155, 0.947279
0.339007, 0.943082
0.351859, 0.93873
0.364711, 0.934223
0.377564, 0.929562
0.390416, 0.924747
0.403268, 0.919779
0.416121, 0.914659
0.428973, 0.909389
0.441825, 0.903968
0.454677, 0.898397
0.46753, 0.892679
0.480382, 0.886812
0.493234, 0.8808
0.506086, 0.874642
0.518939, 0.868339
0.531791, 0.861893
0.544643, 0.855304
0.557495, 0.848575
0.570348, 0.841705
0.5832, 0.834696
0.596052, 0.827549
0.608904, 0.820265
0.621757, 0.812846
0.634609, 0.805293
0.647461, 0.797607
0.660314, 0.789789
0.673166, 0.78184
0.686018, 0.773763
0.69887, 0.765557
0.711723, 0.757225
0.724575, 0.748768
0.737427, 0.740187
0.750279, 0.731484
0.763132, 0.72266
0.775984, 0.713717
0.788836, 0.704656
0.801688, 0.695479
0.814541, 0.686186
0.827393, 0.67678
0.840245, 0.667263
0.853097, 0.657635
0.86595, 0.647899
0.878802, 0.638055
0.891654, 0.628106
0.904507, 0.618054
0.917359, 0.607899
0.930211, 0.597644
0.943063, 0.58729
0.955916, 0.57684
0.968768, 0.566293
0.98162, 0.555654
0.994472, 0.544922
1.00732, 0.534101
1.02018, 0.523191
1.03303, 0.512195
1.04588, 0.501114
1.05873, 0.489951
1.07159, 0.478706
1.08444, 0.467383
1.09729, 0.455982
1.11014, 0.444506
1.12299, 0.432957
1.13585, 0.421336
1.1487, 0.409645
1.16155, 0.397887
1.1744, 0.386063
1.18726, 0.374175
1.20011, 0.362226
1.21296, 0.350216
1.22581, 0.338149
1.23867, 0.326026
1.25152, 0.313849
1.26437, 0.30162
1.27722, 0.289342
1.29007, 0.277015
1.30293, 0.264643
